sample_id,strategy,min_parameter,confidence_before,confidence_after,confidence_drop,flipped
1.jpg,B_noise,,0.8413349986076355,,,False
1.jpg,B_noise_bright,,0.8472407460212708,,,False
1.jpg,original,,0.8412143588066101,,,False
10 (10).jpg,A_blur,,0.828253984451294,,,False
10 (10).jpg,A_blur_freq,,0.8472235798835754,,,False
10 (10).jpg,B_noise,,0.8287683129310608,,,False
10 (10).jpg,B_noise_bright,,0.8265185356140137,,,False
10 (10).jpg,original,,0.828253984451294,,,False
10 (2).jpg,A_blur,,0.812035858631134,,,False
10 (2).jpg,A_blur_freq,,0.8075965046882629,,,False
10 (2).jpg,B_noise,,0.8110753297805786,,,False
10 (2).jpg,B_noise_bright,,0.813401997089386,,,False
10 (2).jpg,original,,0.812035858631134,,,False
10 (3).jpg,A_blur,,0.8036568760871887,,,False
10 (3).jpg,A_blur_freq,,0.8089979290962219,,,False
10 (3).jpg,B_noise,,0.8039487600326538,,,False
10 (3).jpg,B_noise_bright,,0.8031458854675293,,,False
10 (3).jpg,original,,0.8036568760871887,,,False
10 (4).jpg,A_blur,,0.8011780381202698,,,False
10 (4).jpg,A_blur_freq,,0.8176141381263733,,,False
10 (4).jpg,B_noise,,0.7992953658103943,,,False
10 (4).jpg,B_noise_bright,,0.8040170073509216,,,False
10 (4).jpg,original,,0.8011780381202698,,,False
10 (5).jpg,A_blur,,0.8283776640892029,,,False
10 (5).jpg,A_blur_freq,,0.8422060608863831,,,False
10 (5).jpg,B_noise,,0.8290301561355591,,,False
10 (5).jpg,B_noise_bright,,0.8320639133453369,,,False
10 (5).jpg,original,,0.8283776640892029,,,False
10 (6).jpg,A_blur,,0.8608550429344177,,,False
10 (6).jpg,A_blur_freq,,0.8509175181388855,,,False
10 (6).jpg,B_noise,,0.8623399138450623,,,False
10 (6).jpg,B_noise_bright,,0.8612874150276184,,,False
10 (6).jpg,original,,0.8608550429344177,,,False
10 (7).jpg,A_blur,,0.8647496700286865,,,False
10 (7).jpg,A_blur_freq,,0.8739661574363708,,,False
10 (7).jpg,B_noise,,0.8656314015388489,,,False
10 (7).jpg,B_noise_bright,,0.8692880272865295,,,False
10 (7).jpg,original,,0.8647496700286865,,,False
10 (8).jpg,A_blur,,0.8156132698059082,,,False
10 (8).jpg,A_blur_freq,,0.8110209703445435,,,False
10 (8).jpg,B_noise,,0.8181319832801819,,,False
10 (8).jpg,B_noise_bright,,0.8130069375038147,,,False
10 (8).jpg,original,,0.8156132698059082,,,False
10 (9).jpg,A_blur,,0.8083099722862244,,,False
10 (9).jpg,A_blur_freq,,0.7941973805427551,,,False
10 (9).jpg,B_noise,,0.809776246547699,,,False
10 (9).jpg,B_noise_bright,,0.8070380687713623,,,False
10 (9).jpg,original,,0.8083099722862244,,,False
10.jpg,A_blur,,0.8465679287910461,,,False
10.jpg,A_blur_freq,,0.8534520864486694,,,False
10.jpg,B_noise,,0.8497611880302429,,,False
10.jpg,B_noise_bright,,0.8437014818191528,,,False
10.jpg,original,,0.8465679287910461,,,False
100 (10).jpg,A_blur,,0.8344229459762573,,,False
100 (10).jpg,A_blur_freq,,0.8291261196136475,,,False
100 (10).jpg,B_noise,,0.8369826674461365,,,False
